ProductKey,ProductName,ProductAlias,Description
1,Smartphone,Smartphone,A high-end smartphone with a large screen and powerful processor
2,Laptop,Laptop,A portable computer with a built-in keyboard and touchpad
3,Tablet,Tablet,A lightweight and portable computer with a touchscreen display
4,Smartwatch,Smartwatch,A wearable device that can display notifications and track fitness
5,Headphones,Headphones,A device that can be worn over the ears to listen to audio
6,Television,Television,A device that can display video and audio content
7,Digital Camera,Digital Camera,A device that can capture high-quality photos and videos
8,Game Console,Game Console,A device that can play video games on a television or monitor
9,Printer,Printer,A device that can produce printed copies of digital documents
10,Router,Router,A device that can provide wireless network connectivity for multiple devices
